name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Barfuss Brauerei,Switzerland,Nano Brewery,34 Beers,1621 Ratings,(3.402),https://untappd.com/brewery/182630,01/04/2020 10:18:29
Brauhaus Sternen,Switzerland,Brew Pub,40 Beers,1624 Ratings,(3.402),https://untappd.com/brewery/233,01/04/2020 10:18:29
CôteWest Brewing,Switzerland,Contract Brewery,23 Beers,1609 Ratings,(3.673),https://untappd.com/brewery/309657,01/04/2020 10:18:29
Steinfels - Restaurant Bar Brauerei,Switzerland,Brew Pub,17 Beers,1603 Ratings,(3.256),https://untappd.com/brewery/1198,01/04/2020 10:18:29
Fri-Mousse,Switzerland,Nano Brewery,9 Beers,1569 Ratings,(3.466),https://untappd.com/brewery/60562,01/04/2020 10:18:30
Chien Bleu,Switzerland,Nano Brewery,44 Beers,1559 Ratings,(3.692),https://untappd.com/brewery/303723,01/04/2020 10:18:30
Ahoi Bier,Switzerland,Nano Brewery,54 Beers,1552 Ratings,(3.566),https://untappd.com/brewery/159064,01/04/2020 10:18:30
Engadiner Bier,Switzerland,Nano Brewery,14 Beers,1537 Ratings,(3.483),https://untappd.com/brewery/79849,01/04/2020 10:18:30
Soorser Bier,Switzerland,Nano Brewery,28 Beers,1523 Ratings,(3.375),https://untappd.com/brewery/228890,01/04/2020 10:18:31
The Darkwolf Brewery,Switzerland,Nano Brewery,26 Beers,1502 Ratings,(3.49),https://untappd.com/brewery/41552,01/04/2020 10:18:31
Nordwand Bräu,Switzerland,Nano Brewery,5 Beers,1472 Ratings,(3.433),https://untappd.com/brewery/229308,01/04/2020 10:18:31
Bachweg Brewing,Switzerland,Nano Brewery,14 Beers,1420 Ratings,(3.555),https://untappd.com/brewery/249616,01/04/2020 10:18:31
Broken City Brewing,Switzerland,Nano Brewery,38 Beers,1377 Ratings,(3.63),https://untappd.com/brewery/321120,01/04/2020 10:18:32
Echec & Malt,Switzerland,Nano Brewery,74 Beers,1367 Ratings,(3.701),https://untappd.com/brewery/191384,01/04/2020 10:18:32
Brau AG Langenthal,Switzerland,Nano Brewery,11 Beers,1334 Ratings,(3.415),https://untappd.com/brewery/73538,01/04/2020 10:18:32
Valora Holding AG,Switzerland,Bar / Restaurant / Store,1 Beer,1330 Ratings,(2.244),https://untappd.com/brewery/78467,01/04/2020 10:18:33
La:Marmotte,Switzerland,Nano Brewery,22 Beers,1297 Ratings,(3.291),https://untappd.com/brewery/158882,01/04/2020 10:18:33
Mein Emmental,Switzerland,Nano Brewery,57 Beers,1291 Ratings,(3.493),https://untappd.com/brewery/130427,01/04/2020 10:18:33
Stiär Biär,Switzerland,Nano Brewery,14 Beers,1282 Ratings,(3.248),https://untappd.com/brewery/26736,01/04/2020 10:18:33
Denner,Switzerland,Bar / Restaurant / Store,6 Beers,1243 Ratings,(2.537),https://untappd.com/brewery/72137,01/04/2020 10:18:34
Braustation Sursee,Switzerland,Nano Brewery,13 Beers,1178 Ratings,(3.402),https://untappd.com/brewery/259024,01/04/2020 10:18:34
La Brasserie du Chauve,Switzerland,Nano Brewery,0 Beer,1175 Ratings,(3.355),https://untappd.com/brewery/38748,01/04/2020 10:18:34
dear.beer brewing company,Switzerland,Nano Brewery,48 Beers,1157 Ratings,(3.547),https://untappd.com/brewery/299414,01/04/2020 10:18:34
nine brothers,Switzerland,Nano Brewery,24 Beers,1155 Ratings,(3.956),https://untappd.com/brewery/172223,01/04/2020 10:18:35
Chen Van Loon,Switzerland,Nano Brewery,16 Beers,1138 Ratings,(3.596),https://untappd.com/brewery/169811,01/04/2020 10:18:35
Mükon,Switzerland,Nano Brewery,50 Beers,1109 Ratings,(3.235),https://untappd.com/brewery/327979,01/04/2020 10:18:35
Freiburger Biermanufaktur,Switzerland,Nano Brewery,19 Beers,1108 Ratings,(3.482),https://untappd.com/brewery/74635,01/04/2020 10:18:36
Brasserie du Molard,Switzerland,Brew Pub,5 Beers,1066 Ratings,(3.14),https://untappd.com/brewery/25871,01/04/2020 10:18:36
Drei Tannen Bier,Switzerland,Brew Pub,14 Beers,1056 Ratings,(3.316),https://untappd.com/brewery/161033,01/04/2020 10:18:36
BLZ Company,Switzerland,Nano Brewery,14 Beers,1031 Ratings,(3.577),https://untappd.com/brewery/269899,01/04/2020 10:18:37
Burgbier Ringgenberg,Switzerland,Nano Brewery,63 Beers,1022 Ratings,(3.69),https://untappd.com/brewery/175323,01/04/2020 10:18:37
Aktienbrauerei Flims Surselva AG,Switzerland,Nano Brewery,0 Beer,1019 Ratings,(3.289),https://untappd.com/brewery/18352,01/04/2020 10:18:37
