name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Malz Maul,Switzerland,Nano Brewery,59 Beers,301 Ratings,(3.502),https://untappd.com/brewery/273222,01/04/2020 10:19:11
Brasserie du Haut-Lac,Switzerland,Nano Brewery,14 Beers,301 Ratings,(3.261),https://untappd.com/brewery/272144,01/04/2020 10:19:11
Atlas Craft Beer,Switzerland,Nano Brewery,37 Beers,297 Ratings,(3.915),https://untappd.com/brewery/217706,01/04/2020 10:19:11
Alpenbrauerei GIRUN AG,Switzerland,Nano Brewery,3 Beers,290 Ratings,(3.554),https://untappd.com/brewery/345500,01/04/2020 10:19:11
Eisbock,Switzerland,Nano Brewery,10 Beers,290 Ratings,(3.549),https://untappd.com/brewery/347545,01/04/2020 10:19:12
Hermann Bier,Switzerland,Nano Brewery,19 Beers,287 Ratings,(3.554),https://untappd.com/brewery/143920,01/04/2020 10:19:12
Luzerner Bier Brauer,Switzerland,Nano Brewery,22 Beers,278 Ratings,(3.181),https://untappd.com/brewery/199399,01/04/2020 10:19:12
Stadtkeller Luzern,Switzerland,Contract Brewery,3 Beers,276 Ratings,(3.541),https://untappd.com/brewery/73097,01/04/2020 10:19:12
Traquenard,Switzerland,Nano Brewery,19 Beers,274 Ratings,(3.38),https://untappd.com/brewery/383461,01/04/2020 10:19:13
Bière du Lac,Switzerland,Nano Brewery,9 Beers,272 Ratings,(3.616),https://untappd.com/brewery/187359,01/04/2020 10:19:13
Matt & Elly,Switzerland,Brew Pub,17 Beers,268 Ratings,(3.499),https://untappd.com/brewery/394299,01/04/2020 10:19:13
BR,Switzerland,Contract Brewery,6 Beers,262 Ratings,(3.028),https://untappd.com/brewery/423375,01/04/2020 10:19:14
ECM Bräu,Switzerland,Nano Brewery,4 Beers,261 Ratings,(3.26),https://untappd.com/brewery/171770,01/04/2020 10:19:14
Barrel Brewing,Switzerland,Brew Pub,27 Beers,257 Ratings,(3.634),https://untappd.com/brewery/428705,01/04/2020 10:19:14
Linde Oberstrass,Switzerland,Contract Brewery,9 Beers,256 Ratings,(3.433),https://untappd.com/brewery/20029,01/04/2020 10:19:14
Brauerei im Berg,Switzerland,Nano Brewery,14 Beers,254 Ratings,(3.483),https://untappd.com/brewery/285662,01/04/2020 10:19:15
Burg Braui,Switzerland,Nano Brewery,41 Beers,254 Ratings,(3.556),https://untappd.com/brewery/174450,01/04/2020 10:19:15
Mousse de Thoune,Switzerland,Nano Brewery,41 Beers,253 Ratings,(3.521),https://untappd.com/brewery/241650,01/04/2020 10:19:15
Fleur de Lyss,Switzerland,Nano Brewery,13 Beers,256 Ratings,(3.567),https://untappd.com/brewery/329801,01/04/2020 10:19:15
BAF,Switzerland,Nano Brewery,39 Beers,246 Ratings,(3.682),https://untappd.com/brewery/155467,01/04/2020 10:19:16
Sud51,Switzerland,Contract Brewery,7 Beers,241 Ratings,(3.441),https://untappd.com/brewery/324983,01/04/2020 10:19:16
Lorraine Beer Project,Switzerland,Nano Brewery,46 Beers,240 Ratings,(3.79),https://untappd.com/brewery/313858,01/04/2020 10:19:16
EL CABALLERO BREWING,Switzerland,Nano Brewery,27 Beers,240 Ratings,(3.685),https://untappd.com/brewery/355663,01/04/2020 10:19:17
Alpine Peak (Weinwelt Schweiz),Switzerland,Nano Brewery,2 Beers,239 Ratings,(3.379),https://untappd.com/brewery/411181,01/04/2020 10:19:17
"""Gottfried""",Switzerland,Nano Brewery,5 Beers,237 Ratings,(3.42),https://untappd.com/brewery/401948,01/04/2020 10:19:17
Brasserie des Celtes,Switzerland,Nano Brewery,21 Beers,235 Ratings,(3.48),https://untappd.com/brewery/378246,01/04/2020 10:19:18
Couvaloup,Switzerland,Nano Brewery,9 Beers,234 Ratings,(3.328),https://untappd.com/brewery/271746,01/04/2020 10:19:18
Celsius (Brasserie Artisanale d'Ayent),Switzerland,Nano Brewery,9 Beers,233 Ratings,(3.086),https://untappd.com/brewery/114613,01/04/2020 10:19:18
Käppelijoch Spezialitäten Hausbrauerei,Switzerland,Nano Brewery,19 Beers,233 Ratings,(3.771),https://untappd.com/brewery/105326,01/04/2020 10:19:18
Bierwerkstatt Eberhard,Switzerland,Nano Brewery,26 Beers,232 Ratings,(3.502),https://untappd.com/brewery/345093,01/04/2020 10:19:19
Föhrenbier Manufaktur,Switzerland,Nano Brewery,35 Beers,229 Ratings,(4.123),https://untappd.com/brewery/329287,01/04/2020 10:19:19
Tap4,Switzerland,Nano Brewery,26 Beers,229 Ratings,(3.745),https://untappd.com/brewery/415132,01/04/2020 10:19:19
Blaue Ente,Switzerland,Nano Brewery,11 Beers,227 Ratings,(3.407),https://untappd.com/brewery/394720,01/04/2020 10:19:19
Brasserie Artisanale Broyarde,Switzerland,Nano Brewery,18 Beers,226 Ratings,(3.484),https://untappd.com/brewery/177580,01/04/2020 10:19:20
Brasserie de l'Atelier Sàrl,Switzerland,Nano Brewery,16 Beers,225 Ratings,(3.528),https://untappd.com/brewery/370253,01/04/2020 10:19:20
Hohgant,Switzerland,Nano Brewery,14 Beers,224 Ratings,(3.369),https://untappd.com/brewery/125490,01/04/2020 10:19:20
Hüsi Bierhaus,Switzerland,Bar / Restaurant / Store,5 Beers,223 Ratings,(3.542),https://untappd.com/brewery/227310,01/04/2020 10:19:21
La Drêche,Switzerland,Nano Brewery,28 Beers,222 Ratings,(3.7),https://untappd.com/brewery/203328,01/04/2020 10:19:21
Hopfenundmalz,Switzerland,Nano Brewery,35 Beers,221 Ratings,(3.354),https://untappd.com/brewery/111992,01/04/2020 10:19:21
Nikson Brewery,Switzerland,Nano Brewery,30 Beers,220 Ratings,(3.583),https://untappd.com/brewery/323414,01/04/2020 10:19:21
Schwarzbuebe Bier,Switzerland,Nano Brewery,17 Beers,220 Ratings,(3.433),https://untappd.com/brewery/153899,01/04/2020 10:19:22
Brasserie des Mines,Switzerland,Nano Brewery,11 Beers,218 Ratings,(3.417),https://untappd.com/brewery/272457,01/04/2020 10:19:22
La Brasserie du Temps,Switzerland,Nano Brewery,31 Beers,217 Ratings,(3.58),https://untappd.com/brewery/186634,01/04/2020 10:19:22
Ponäly,Switzerland,Nano Brewery,32 Beers,212 Ratings,(3.701),https://untappd.com/brewery/302680,01/04/2020 10:19:23
Brasserie Artisanale De Giez,Switzerland,Nano Brewery,19 Beers,212 Ratings,(3.208),https://untappd.com/brewery/240211,01/04/2020 10:19:23
Komturei Tobel,Switzerland,Contract Brewery,1 Beer,211 Ratings,(3.328),https://untappd.com/brewery/65488,01/04/2020 10:19:23
Braufabrik Baden,Switzerland,Brew Pub,25 Beers,208 Ratings,(3.62),https://untappd.com/brewery/391919,01/04/2020 10:19:23
La Meute,Switzerland,Nano Brewery,7 Beers,208 Ratings,(3.486),https://untappd.com/brewery/357683,01/04/2020 10:19:24
Birra Bozz,Switzerland,Nano Brewery,26 Beers,210 Ratings,(3.088),https://untappd.com/brewery/175191,01/04/2020 10:19:24
Tiersteiner Bräu,Switzerland,Nano Brewery,8 Beers,207 Ratings,(3.217),https://untappd.com/brewery/19808,01/04/2020 10:19:24
3330 Alt.,Switzerland,Brew Pub,5 Beers,206 Ratings,(3.291),https://untappd.com/brewery/244918,01/04/2020 10:19:24
Brasserie des Condemines,Switzerland,Nano Brewery,16 Beers,201 Ratings,(3.305),https://untappd.com/brewery/91300,01/04/2020 10:19:25
Barkracher,Switzerland,Contract Brewery,2 Beers,201 Ratings,(3.237),https://untappd.com/brewery/369044,01/04/2020 10:19:25
CCLXXI,Switzerland,Nano Brewery,54 Beers,200 Ratings,(3.8),https://untappd.com/brewery/299651,01/04/2020 10:19:25
Baselbieter,Switzerland,Nano Brewery,0 Beer,199 Ratings,(3.148),https://untappd.com/brewery/81975,01/04/2020 10:19:26
Hope,Switzerland,Nano Brewery,10 Beers,199 Ratings,(3.157),https://untappd.com/brewery/386932,01/04/2020 10:19:26
Monsterbräu,Switzerland,Nano Brewery,13 Beers,199 Ratings,(3.24),https://untappd.com/brewery/153822,01/04/2020 10:19:26
Glattfelder,Switzerland,Nano Brewery,11 Beers,197 Ratings,(3.479),https://untappd.com/brewery/264666,01/04/2020 10:19:26
Roscha,Switzerland,Nano Brewery,19 Beers,195 Ratings,(3.482),https://untappd.com/brewery/153918,01/04/2020 10:19:27
O'bled,Switzerland,Nano Brewery,7 Beers,193 Ratings,(3.193),https://untappd.com/brewery/316538,01/04/2020 10:19:27
Ruecherei,Switzerland,Contract Brewery,5 Beers,189 Ratings,(3.228),https://untappd.com/brewery/266933,01/04/2020 10:19:27
AnderThaler,Switzerland,Nano Brewery,34 Beers,188 Ratings,(3.322),https://untappd.com/brewery/370539,01/04/2020 10:19:28
Chomer Braukunst,Switzerland,Nano Brewery,9 Beers,188 Ratings,(3.648),https://untappd.com/brewery/339051,01/04/2020 10:19:28
Reist-Bier,Switzerland,Nano Brewery,10 Beers,186 Ratings,(3.627),https://untappd.com/brewery/278632,01/04/2020 10:19:28
Full Measure Brewing,Switzerland,Contract Brewery,21 Beers,185 Ratings,(4.055),https://untappd.com/brewery/195069,01/04/2020 10:19:29
THE COMMON OAK,Switzerland,Nano Brewery,5 Beers,184 Ratings,(4.236),https://untappd.com/brewery/373800,01/04/2020 10:19:29
Vieux Chemin,Switzerland,Nano Brewery,14 Beers,183 Ratings,(3.294),https://untappd.com/brewery/177824,01/04/2020 10:19:29
Kudibräu (Buchser Bier),Switzerland,Nano Brewery,13 Beers,182 Ratings,(3.174),https://untappd.com/brewery/286996,01/04/2020 10:19:29
Hochdorfer Bier,Switzerland,Contract Brewery,3 Beers,180 Ratings,(3.338),https://untappd.com/brewery/198128,01/04/2020 10:19:30
Hasenbräu Solothurn,Switzerland,Nano Brewery,37 Beers,178 Ratings,(4.517),https://untappd.com/brewery/267195,01/04/2020 10:19:30
Reinecke Bräu,Switzerland,Nano Brewery,18 Beers,174 Ratings,(3.935),https://untappd.com/brewery/193258,01/04/2020 10:19:30
Hardeggerperle,Switzerland,Nano Brewery,7 Beers,173 Ratings,(3.052),https://untappd.com/brewery/39245,01/04/2020 10:19:31
ULLR Brewing,Switzerland,Nano Brewery,7 Beers,171 Ratings,(3.532),https://untappd.com/brewery/428144,01/04/2020 10:19:31
Hordeum,Switzerland,Contract Brewery,14 Beers,171 Ratings,(3.419),https://untappd.com/brewery/332273,01/04/2020 10:19:31
Brygger Øl,Switzerland,Nano Brewery,60 Beers,171 Ratings,(0),https://untappd.com/brewery/158682,01/04/2020 10:19:32
Gleis 1,Switzerland,Nano Brewery,8 Beers,171 Ratings,(3.329),https://untappd.com/brewery/103659,01/04/2020 10:19:32
Stadtwächter,Switzerland,Nano Brewery,3 Beers,170 Ratings,(3.421),https://untappd.com/brewery/415453,01/04/2020 10:19:32
Old Hill Brewery,Switzerland,Nano Brewery,14 Beers,176 Ratings,(3.536),https://untappd.com/brewery/355182,01/04/2020 10:19:32
La Comète,Switzerland,Nano Brewery,10 Beers,168 Ratings,(3.087),https://untappd.com/brewery/226824,01/04/2020 10:19:33
3714 Frutigbier,Switzerland,Nano Brewery,8 Beers,167 Ratings,(3.292),https://untappd.com/brewery/405925,01/04/2020 10:19:33
Bodensee Bräu,Switzerland,Nano Brewery,24 Beers,167 Ratings,(3.506),https://untappd.com/brewery/125465,01/04/2020 10:19:33
Granicum,Switzerland,Nano Brewery,7 Beers,165 Ratings,(3.071),https://untappd.com/brewery/199379,01/04/2020 10:19:34
Faex,Switzerland,Nano Brewery,22 Beers,165 Ratings,(3.467),https://untappd.com/brewery/145225,01/04/2020 10:19:34
Les Garçons,Switzerland,Nano Brewery,16 Beers,159 Ratings,(3.767),https://untappd.com/brewery/274110,01/04/2020 10:19:34
Lynx Movement,Switzerland,Nano Brewery,10 Beers,158 Ratings,(3.31),https://untappd.com/brewery/232556,01/04/2020 10:19:35
Courage Bier,Switzerland,Nano Brewery,8 Beers,157 Ratings,(3.48),https://untappd.com/brewery/283152,01/04/2020 10:19:35
Raben Brau,Switzerland,Nano Brewery,21 Beers,157 Ratings,(3.102),https://untappd.com/brewery/125461,01/04/2020 10:19:35
Tres Hombres,Switzerland,Nano Brewery,16 Beers,153 Ratings,(3.496),https://untappd.com/brewery/395841,01/04/2020 10:19:35
Blanche Pierre,Switzerland,Nano Brewery,20 Beers,153 Ratings,(3.31),https://untappd.com/brewery/217178,01/04/2020 10:19:36
Arli Brau,Switzerland,Nano Brewery,13 Beers,153 Ratings,(3.063),https://untappd.com/brewery/213911,01/04/2020 10:19:36
heitereBRÄU,Switzerland,Nano Brewery,24 Beers,152 Ratings,(3.819),https://untappd.com/brewery/57761,01/04/2020 10:19:36
Laboratorio Birrario Ticinese,Switzerland,Nano Brewery,3 Beers,152 Ratings,(3.434),https://untappd.com/brewery/363486,01/04/2020 10:19:37
Gimlé,Switzerland,Nano Brewery,12 Beers,151 Ratings,(3.356),https://untappd.com/brewery/236982,01/04/2020 10:19:37
Brauwerk 1779,Switzerland,Brew Pub,20 Beers,150 Ratings,(3.354),https://untappd.com/brewery/427163,01/04/2020 10:19:37
Unikum,Switzerland,Nano Brewery,19 Beers,150 Ratings,(3.741),https://untappd.com/brewery/395506,01/04/2020 10:19:38
Blattmann Bier,Switzerland,Nano Brewery,4 Beers,149 Ratings,(3.055),https://untappd.com/brewery/373306,01/04/2020 10:19:38
Sennbräu,Switzerland,Nano Brewery,22 Beers,145 Ratings,(3.448),https://untappd.com/brewery/292478,01/04/2020 10:19:38
Paddy Reilly’s,Switzerland,Bar / Restaurant / Store,4 Beers,143 Ratings,(3.256),https://untappd.com/brewery/443930,01/04/2020 10:19:39
Hirnibräu,Switzerland,Nano Brewery,6 Beers,142 Ratings,(3.546),https://untappd.com/brewery/157219,01/04/2020 10:19:39
La Vadge,Switzerland,Nano Brewery,0 Beer,140 Ratings,(3.951),https://untappd.com/brewery/280310,01/04/2020 10:19:40
Rock Story Brew,Switzerland,Brew Pub,32 Beers,140 Ratings,(4),https://untappd.com/brewery/212161,01/04/2020 10:19:40
Falkenbräu Baden,Switzerland,Nano Brewery,2 Beers,137 Ratings,(3.321),https://untappd.com/brewery/174606,01/04/2020 10:19:40
la Mine,Switzerland,Nano Brewery,11 Beers,136 Ratings,(3.518),https://untappd.com/brewery/372700,01/04/2020 10:19:40
Birreria Pacific,Switzerland,Nano Brewery,16 Beers,135 Ratings,(3.374),https://untappd.com/brewery/227631,01/04/2020 10:19:41
Bières & Co,Switzerland,Nano Brewery,22 Beers,134 Ratings,(2.88),https://untappd.com/brewery/228143,01/04/2020 10:19:41
Stadtbach Brauerei,Switzerland,Nano Brewery,10 Beers,133 Ratings,(3.397),https://untappd.com/brewery/377437,01/04/2020 10:19:41
Brasserie Jolimont,Switzerland,Contract Brewery,2 Beers,133 Ratings,(3.671),https://untappd.com/brewery/217579,01/04/2020 10:19:42
Rümlanger Brauwerkstatt,Switzerland,Nano Brewery,6 Beers,135 Ratings,(3.238),https://untappd.com/brewery/368932,01/04/2020 10:19:42
Abbaye De St-Maurice,Switzerland,Micro Brewery,4 Beers,130 Ratings,(3.453),https://untappd.com/brewery/444947,01/04/2020 10:19:42
Mein Teil,Switzerland,Nano Brewery,7 Beers,130 Ratings,(3.4),https://untappd.com/brewery/337710,01/04/2020 10:19:43
Zobo Getränke,Switzerland,Nano Brewery,2 Beers,129 Ratings,(3.198),https://untappd.com/brewery/255941,01/04/2020 10:19:43
Brauwerkstatt Kriens,Switzerland,Nano Brewery,12 Beers,127 Ratings,(3.47),https://untappd.com/brewery/405654,01/04/2020 10:19:43
Divus,Switzerland,Nano Brewery,4 Beers,128 Ratings,(3.213),https://untappd.com/brewery/209637,01/04/2020 10:19:44
Schützenhaus Burgdorf,Switzerland,Contract Brewery,4 Beers,127 Ratings,(3.539),https://untappd.com/brewery/191971,01/04/2020 10:19:44
Black Peak Brewery,Switzerland,Nano Brewery,6 Beers,126 Ratings,(3.483),https://untappd.com/brewery/375222,01/04/2020 10:19:44
Oberson / Chastelbach,Switzerland,Nano Brewery,11 Beers,126 Ratings,(3.571),https://untappd.com/brewery/139623,01/04/2020 10:19:44
Dive Bär,Switzerland,Nano Brewery,11 Beers,124 Ratings,(3.478),https://untappd.com/brewery/320760,01/04/2020 10:19:45
GibbonBräu,Switzerland,Nano Brewery,8 Beers,122 Ratings,(3.268),https://untappd.com/brewery/368717,01/04/2020 10:19:45
Heero,Switzerland,Nano Brewery,31 Beers,121 Ratings,(3.786),https://untappd.com/brewery/322164,01/04/2020 10:19:45
Brasserie de Vollèges,Switzerland,Nano Brewery,10 Beers,121 Ratings,(3.398),https://untappd.com/brewery/153839,01/04/2020 10:19:46
Helmert's,Switzerland,Nano Brewery,11 Beers,118 Ratings,(3.725),https://untappd.com/brewery/395522,01/04/2020 10:19:46
Pentabier,Switzerland,Nano Brewery,12 Beers,118 Ratings,(3.455),https://untappd.com/brewery/341583,01/04/2020 10:19:46
Minuscule Bières,Switzerland,Contract Brewery,3 Beers,118 Ratings,(3.52),https://untappd.com/brewery/293468,01/04/2020 10:19:46
Kraftstoff,Switzerland,Nano Brewery,7 Beers,117 Ratings,(3.261),https://untappd.com/brewery/425625,01/04/2020 10:19:47
Langenthaler Bierbrauerei,Switzerland,Nano Brewery,4 Beers,117 Ratings,(3.25),https://untappd.com/brewery/376792,01/04/2020 10:19:47
Post Tenebras,Switzerland,Nano Brewery,17 Beers,116 Ratings,(3.661),https://untappd.com/brewery/334570,01/04/2020 10:19:47
Terra Matta,Switzerland,Nano Brewery,8 Beers,117 Ratings,(3.319),https://untappd.com/brewery/176605,01/04/2020 10:19:48
Brasserie des Diablerets,Switzerland,Nano Brewery,10 Beers,115 Ratings,(3.622),https://untappd.com/brewery/309077,01/04/2020 10:19:48
Brewhouse Lac Léman,Switzerland,Brew Pub,0 Beer,115 Ratings,(3.962),https://untappd.com/brewery/224235,01/04/2020 10:19:48
Saane Gutsch,Switzerland,Nano Brewery,2 Beers,113 Ratings,(3.553),https://untappd.com/brewery/278287,01/04/2020 10:19:49
Turaco,Switzerland,Contract Brewery,1 Beer,112 Ratings,(2.953),https://untappd.com/brewery/426059,01/04/2020 10:19:49
Longhawl Brewing Co,Switzerland,Nano Brewery,1 Beer,112 Ratings,(3.201),https://untappd.com/brewery/350698,01/04/2020 10:19:49
Wasserämter Mikro-Brauerei,Switzerland,Nano Brewery,6 Beers,112 Ratings,(3.239),https://untappd.com/brewery/205985,01/04/2020 10:19:50
Brasserie des Tours,Switzerland,Brew Pub,10 Beers,110 Ratings,(3.214),https://untappd.com/brewery/71284,01/04/2020 10:19:50
Storchenbräu,Switzerland,Nano Brewery,26 Beers,109 Ratings,(3.483),https://untappd.com/brewery/393206,01/04/2020 10:19:50
Brauer Tom,Switzerland,Nano Brewery,10 Beers,109 Ratings,(3.143),https://untappd.com/brewery/335024,01/04/2020 10:19:50
Neufuhrbräu,Switzerland,Nano Brewery,21 Beers,108 Ratings,(3.554),https://untappd.com/brewery/285351,01/04/2020 10:19:51
McMax,Switzerland,Nano Brewery,19 Beers,107 Ratings,(3.551),https://untappd.com/brewery/368535,01/04/2020 10:19:51
Brasserie de la Fontaine (Orforte),Switzerland,Brew Pub,12 Beers,107 Ratings,(3.394),https://untappd.com/brewery/141942,01/04/2020 10:19:51
Birrificio Valle Maggia,Switzerland,Nano Brewery,6 Beers,106 Ratings,(3.225),https://untappd.com/brewery/437798,01/04/2020 10:19:52
Bières de Neuch,Switzerland,Nano Brewery,9 Beers,106 Ratings,(3.456),https://untappd.com/brewery/277242,01/04/2020 10:19:52
San Rocco,Switzerland,Nano Brewery,6 Beers,106 Ratings,(3.26),https://untappd.com/brewery/207019,01/04/2020 10:19:52
Glouglou,Switzerland,Nano Brewery,16 Beers,106 Ratings,(3.611),https://untappd.com/brewery/189717,01/04/2020 10:19:52
Bünzwasser,Switzerland,Nano Brewery,27 Beers,105 Ratings,(3.515),https://untappd.com/brewery/326372,01/04/2020 10:19:53
3bier,Switzerland,Nano Brewery,6 Beers,104 Ratings,(3.461),https://untappd.com/brewery/73124,01/04/2020 10:19:53
La Vaudruzienne,Switzerland,Nano Brewery,11 Beers,104 Ratings,(3.315),https://untappd.com/brewery/324980,01/04/2020 10:19:53
Unterbad Brewery,Switzerland,Nano Brewery,26 Beers,104 Ratings,(3.482),https://untappd.com/brewery/138967,01/04/2020 10:19:54
Hopstache Brewing Brothers,Switzerland,Nano Brewery,8 Beers,103 Ratings,(4.461),https://untappd.com/brewery/436589,01/04/2020 10:19:54
Landbrauerei Heimiswiler Härz,Switzerland,Nano Brewery,2 Beers,101 Ratings,(3.444),https://untappd.com/brewery/342567,01/04/2020 10:19:54
Brasserie Gonzo,Switzerland,Nano Brewery,11 Beers,100 Ratings,(3.321),https://untappd.com/brewery/374648,01/04/2020 10:19:54
Schoggi,Switzerland,Nano Brewery,12 Beers,99 Ratings,(3.201),https://untappd.com/brewery/88756,01/04/2020 10:19:55
Brauer Bischoff,Switzerland,Nano Brewery,23 Beers,99 Ratings,(3.679),https://untappd.com/brewery/297622,01/04/2020 10:19:55
HellsKitchen Brewery,Switzerland,Nano Brewery,11 Beers,97 Ratings,(3.715),https://untappd.com/brewery/380363,01/04/2020 10:19:55
Ademus,Switzerland,Nano Brewery,9 Beers,97 Ratings,(3.33),https://untappd.com/brewery/263838,01/04/2020 10:19:56
Mythen Bräu,Switzerland,Nano Brewery,36 Beers,97 Ratings,(3.198),https://untappd.com/brewery/218258,01/04/2020 10:19:56
Egghubel,Switzerland,Nano Brewery,18 Beers,97 Ratings,(3.534),https://untappd.com/brewery/102636,01/04/2020 10:19:56
Studer Et Walker Brasseurs,Switzerland,Nano Brewery,1 Beer,96 Ratings,(3.49),https://untappd.com/brewery/374317,01/04/2020 10:19:57
Oberdörfer Chauerbräu,Switzerland,Nano Brewery,7 Beers,96 Ratings,(3.259),https://untappd.com/brewery/266993,01/04/2020 10:19:57
Mosterei Kobelt,Switzerland,Cidery,11 Beers,96 Ratings,(3.465),https://untappd.com/brewery/194237,01/04/2020 10:19:57
Bierverein Jens+itzer,Switzerland,Nano Brewery,20 Beers,95 Ratings,(0),https://untappd.com/brewery/415065,01/04/2020 10:19:58
Birrificio Due Fusti,Switzerland,Nano Brewery,10 Beers,95 Ratings,(3.389),https://untappd.com/brewery/396689,01/04/2020 10:19:58
Stahler,Switzerland,Nano Brewery,6 Beers,95 Ratings,(3.652),https://untappd.com/brewery/299714,01/04/2020 10:19:58
La Brasse-Mortier,Switzerland,Nano Brewery,7 Beers,95 Ratings,(3.354),https://untappd.com/brewery/255476,01/04/2020 10:19:59
Freistoff,Switzerland,Nano Brewery,17 Beers,93 Ratings,(3.313),https://untappd.com/brewery/292526,01/04/2020 10:19:59
Brasserie du Manoir,Switzerland,Nano Brewery,5 Beers,93 Ratings,(3.624),https://untappd.com/brewery/223446,01/04/2020 10:19:59
Skiarena Andermatt Sedrun,Switzerland,Micro Brewery,1 Beer,93 Ratings,(3.019),https://untappd.com/brewery/178593,01/04/2020 10:20:00
Adrianos Bar & Café,Switzerland,Bar / Restaurant / Store,1 Beer,93 Ratings,(3.565),https://untappd.com/brewery/137535,01/04/2020 10:20:00
VieriBräu,Switzerland,Nano Brewery,14 Beers,92 Ratings,(3.731),https://untappd.com/brewery/253551,01/04/2020 10:20:00
Monte Lema,Switzerland,Nano Brewery,10 Beers,92 Ratings,(3.1),https://untappd.com/brewery/441237,01/04/2020 10:20:00
Drunk Beard,Switzerland,Nano Brewery,11 Beers,91 Ratings,(3.36),https://untappd.com/brewery/423791,01/04/2020 10:20:01
Sunny Bräu,Switzerland,Nano Brewery,6 Beers,91 Ratings,(3.461),https://untappd.com/brewery/416064,01/04/2020 10:20:01
la Mule,Switzerland,Nano Brewery,4 Beers,92 Ratings,(3.209),https://untappd.com/brewery/155680,01/04/2020 10:20:01
Danidrinks (Danibier),Switzerland,Nano Brewery,6 Beers,90 Ratings,(3.171),https://untappd.com/brewery/203428,01/04/2020 10:20:02
Tardiv,Switzerland,Nano Brewery,3 Beers,90 Ratings,(3.414),https://untappd.com/brewery/138089,01/04/2020 10:20:02
Malternative,Switzerland,Nano Brewery,5 Beers,88 Ratings,(3.351),https://untappd.com/brewery/378318,01/04/2020 10:20:02
"Haslital Bier, KronenAdler Braukultur",Switzerland,Nano Brewery,10 Beers,87 Ratings,(3.399),https://untappd.com/brewery/424443,01/04/2020 10:20:03
Bières du Niton,Switzerland,Nano Brewery,9 Beers,87 Ratings,(3.198),https://untappd.com/brewery/291351,01/04/2020 10:20:03
Black Deer Brewing Co.,Switzerland,Nano Brewery,17 Beers,87 Ratings,(3.378),https://untappd.com/brewery/194774,01/04/2020 10:20:03
Stadthaus,Switzerland,Bar / Restaurant / Store,1 Beer,87 Ratings,(3.42),https://untappd.com/brewery/178588,01/04/2020 10:20:04
Bäuper Craftbeer,Switzerland,Nano Brewery,6 Beers,85 Ratings,(3.357),https://untappd.com/brewery/421791,01/04/2020 10:20:04
les Gobelins,Switzerland,Nano Brewery,6 Beers,85 Ratings,(3.516),https://untappd.com/brewery/295064,01/04/2020 10:20:04
Müli Bräu,Switzerland,Nano Brewery,8 Beers,84 Ratings,(3.227),https://untappd.com/brewery/215007,01/04/2020 10:20:04
Rolpibrau,Switzerland,Nano Brewery,4 Beers,83 Ratings,(3.463),https://untappd.com/brewery/33512,01/04/2020 10:20:05
47 Grad Nord,Switzerland,Nano Brewery,20 Beers,82 Ratings,(3.649),https://untappd.com/brewery/403644,01/04/2020 10:20:05
Hohenbräu,Switzerland,Nano Brewery,6 Beers,82 Ratings,(3.195),https://untappd.com/brewery/393792,01/04/2020 10:20:05
NinetyTwoBrew,Switzerland,Nano Brewery,18 Beers,82 Ratings,(0),https://untappd.com/brewery/336933,01/04/2020 10:20:06
Alimentana Shops AG,Switzerland,Contract Brewery,1 Beer,81 Ratings,(2.238),https://untappd.com/brewery/134086,01/04/2020 10:20:06
Endstation,Switzerland,Nano Brewery,6 Beers,80 Ratings,(3.521),https://untappd.com/brewery/395509,01/04/2020 10:20:06
Père Porret,Switzerland,Nano Brewery,5 Beers,80 Ratings,(3.416),https://untappd.com/brewery/224132,01/04/2020 10:20:07
La Croix Blanche,Switzerland,Brew Pub,8 Beers,80 Ratings,(3.093),https://untappd.com/brewery/172221,01/04/2020 10:20:07
Drüüklang Bräu,Switzerland,Nano Brewery,5 Beers,79 Ratings,(3.634),https://untappd.com/brewery/384718,01/04/2020 10:20:07
La Source,Switzerland,Nano Brewery,7 Beers,78 Ratings,(3.571),https://untappd.com/brewery/392151,01/04/2020 10:20:08
Zwergenbräu,Switzerland,Nano Brewery,18 Beers,77 Ratings,(3.494),https://untappd.com/brewery/83122,01/04/2020 10:20:08
Kunstwerk,Switzerland,Nano Brewery,13 Beers,77 Ratings,(3.272),https://untappd.com/brewery/349125,01/04/2020 10:20:08
Brau Und Rauchshop Kursbier,Switzerland,Brew Pub,20 Beers,77 Ratings,(3.205),https://untappd.com/brewery/338068,01/04/2020 10:20:09
Hopfetopf,Switzerland,Nano Brewery,8 Beers,77 Ratings,(3.699),https://untappd.com/brewery/294607,01/04/2020 10:20:09
Brasserie du Singe,Switzerland,Nano Brewery,4 Beers,77 Ratings,(3.518),https://untappd.com/brewery/261959,01/04/2020 10:20:09
Güegi-Quell,Switzerland,Nano Brewery,14 Beers,76 Ratings,(2.94),https://untappd.com/brewery/181329,01/04/2020 10:20:09
Corma,Switzerland,Nano Brewery,3 Beers,74 Ratings,(3.285),https://untappd.com/brewery/229938,01/04/2020 10:20:10
Braucheib,Switzerland,Nano Brewery,9 Beers,74 Ratings,(4.524),https://untappd.com/brewery/413926,01/04/2020 10:20:10
Mon Oeil Bräu,Switzerland,Nano Brewery,10 Beers,73 Ratings,(3.529),https://untappd.com/brewery/229300,01/04/2020 10:20:10
