link,location,no_checkins_all_time,no_users_all_time,monthly,beer_name,beer_stye,abv,ibu,beer_rating,raters,added,beer_link
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,La Dragonne,Spiced / Herbed Beer,9.276% ABV,N/A IBU,(3.16),473 Ratings,Added 11/03/11,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-la-dragonne/94936
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Degustator - Goumi Bärliner (2018),Sour - Berliner Weisse,6% ABV,N/A IBU,(3.59),345 Ratings,Added 01/17/19,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-degustator-goumi-barliner-2018/3040013
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Saison Coing Coing,Farmhouse Ale - Saison,6% ABV,N/A IBU,(3.83),326 Ratings,Added 01/25/19,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-saison-coing-coing/3051113
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Highway To Helles Prince De Galles Edition,IPA - Imperial / Double,8.5% ABV,65 IBU,(3.89),298 Ratings,Added 12/30/16,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-highway-to-helles-prince-de-galles-edition/1887516
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Original,Lager - Euro Pale,4.8% ABV,22 IBU,(2.97),"22,597 Ratings",Added 11/26/10,https://untappd.com/b/feldschlosschen-original/11047
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Cardinal Blonde,Lager - Euro Pale,4.8% ABV,22 IBU,(2.89),"7,435 Ratings",Added 08/18/12,https://untappd.com/b/feldschlosschen-cardinal-blonde/216967
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Braufrisch,Kellerbier / Zwickelbier,5% ABV,15 IBU,(3.18),"6,025 Ratings",Added 02/21/15,https://untappd.com/b/feldschlosschen-braufrisch/984793
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Hürlimann Lager,Lager - Helles,4.8% ABV,22 IBU,(2.97),"4,136 Ratings",Added 11/30/10,https://untappd.com/b/feldschlosschen-hurlimann-lager/12111
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Hopfenperle,Pilsner - German,5.2% ABV,28 IBU,(3.06),"3,623 Ratings",Added 02/23/11,https://untappd.com/b/feldschlosschen-hopfenperle/32593
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Weizen Blanche,Witbier,5.2% ABV,12 IBU,(3.13),"3,450 Ratings",Added 02/18/17,https://untappd.com/b/feldschlosschen-weizen-blanche/1954831
